yearID,teamID,name
1890,RC2,Rochester Broncos
1890,SL4,St. Louis Browns
1890,SR2,Syracuse Stars
1890,TL2,Toledo Maumees
1891,BL3,Baltimore Orioles
1891,BRO,Brooklyn Grooms
1891,BS2,Boston Reds
1891,BSN,Boston Beaneaters
1891,CHN,Chicago Colts
1891,CIN,Cincinnati Reds
1891,CL4,Cleveland Spiders
1891,CL6,Columbus Solons
1891,CN3,Cincinnati Kelly's Killers
1891,LS2,Louisville Colonels
1891,ML3,Milwaukee Brewers
1891,NY1,New York Giants
1891,PH4,Philadelphia Athletics
1891,PHI,Philadelphia Phillies
1891,PIT,Pittsburgh Pirates
1891,SL4,St. Louis Browns
1891,WS9,Washington Statesmen
1892,BLN,Baltimore Orioles
1892,BRO,Brooklyn Grooms
1892,BSN,Boston Beaneaters
1892,CHN,Chicago Colts
1892,CIN,Cincinnati Reds
1892,CL4,Cleveland Spiders
1892,LS3,Louisville Colonels
1892,NY1,New York Giants
1892,PHI,Philadelphia Phillies
1892,PIT,Pittsburgh Pirates
1892,SLN,St. Louis Browns
1892,WAS,Washington Senators
1893,BLN,Baltimore Orioles
1893,BRO,Brooklyn Grooms
1893,BSN,Boston Beaneaters
1893,CHN,Chicago Colts
1893,CIN,Cincinnati Reds
1893,CL4,Cleveland Spiders
1893,LS3,Louisville Colonels
1893,NY1,New York Giants
1893,PHI,Philadelphia Phillies
1893,PIT,Pittsburgh Pirates
1893,SLN,St. Louis Browns
1893,WAS,Washington Senators
1894,BLN,Baltimore Orioles
1894,BRO,Brooklyn Grooms
1894,BSN,Boston Beaneaters
1894,CHN,Chicago Colts
1894,CIN,Cincinnati Reds
1894,CL4,Cleveland Spiders
1894,LS3,Louisville Colonels
1894,NY1,New York Giants
1894,PHI,Philadelphia Phillies
1894,PIT,Pittsburgh Pirates
1894,SLN,St. Louis Browns
1894,WAS,Washington Senators
1895,BLN,Baltimore Orioles
1895,BRO,Brooklyn Grooms
1895,BSN,Boston Beaneaters
1895,CHN,Chicago Colts
1895,CIN,Cincinnati Reds
1895,CL4,Cleveland Spiders
1895,LS3,Louisville Colonels
1895,NY1,New York Giants
1895,PHI,Philadelphia Phillies
1895,PIT,Pittsburgh Pirates
1895,SLN,St. Louis Browns
1895,WAS,Washington Senators
1896,BLN,Baltimore Orioles
1896,BRO,Brooklyn Bridegrooms
1896,BSN,Boston Beaneaters
1896,CHN,Chicago Colts
1896,CIN,Cincinnati Reds
1896,CL4,Cleveland Spiders
1896,LS3,Louisville Colonels
1896,NY1,New York Giants
1896,PHI,Philadelphia Phillies
1896,PIT,Pittsburgh Pirates
1896,SLN,St. Louis Browns
1896,WAS,Washington Senators
1897,BLN,Baltimore Orioles
1897,BRO,Brooklyn Bridegrooms
1897,BSN,Boston Beaneaters
1897,CHN,Chicago Colts
1897,CIN,Cincinnati Reds
1897,CL4,Cleveland Spiders
1897,LS3,Louisville Colonels
1897,NY1,New York Giants
1897,PHI,Philadelphia Phillies
1897,PIT,Pittsburgh Pirates
1897,SLN,St. Louis Browns
1897,WAS,Washington Senators
1898,BLN,Baltimore Orioles
1898,BRO,Brooklyn Bridegrooms
1898,BSN,Boston Beaneaters
1898,CHN,Chicago Orphans
1898,CIN,Cincinnati Reds
1898,CL4,Cleveland Spiders
1898,LS3,Louisville Colonels
1898,NY1,New York Giants
1898,PHI,Philadelphia Phillies
1898,PIT,Pittsburgh Pirates
1898,SLN,St. Louis Browns
1898,WAS,Washington Senators
1899,BLN,Baltimore Orioles
1899,BRO,Brooklyn Superbas
1899,BSN,Boston Beaneaters
1899,CHN,Chicago Orphans
1899,CIN,Cincinnati Reds
1899,CL4,Cleveland Spiders
1899,LS3,Louisville Colonels
1899,NY1,New York Giants
1899,PHI,Philadelphia Phillies
1899,PIT,Pittsburgh Pirates
1899,SLN,St. Louis Perfectos
1899,WAS,Washington Senators
1900,BRO,Brooklyn Superbas
1900,BSN,Boston Beaneaters
1900,CHN,Chicago Orphans
1900,CIN,Cincinnati Reds
1900,NY1,New York Giants
1900,PHI,Philadelphia Phillies
1900,PIT,Pittsburgh Pirates
1900,SLN,St. Louis Cardinals
1901,BLA,Baltimore Orioles
1901,BOS,Boston Americans
1901,BRO,Brooklyn Superbas
1901,BSN,Boston Beaneaters
1901,CHA,Chicago White Sox
1901,CHN,Chicago Orphans
1901,CIN,Cincinnati Reds
1901,CLE,Cleveland Blues
1901,DET,Detroit Tigers
1901,MLA,Milwaukee Brewers
1901,NY1,New York Giants
1901,PHA,Philadelphia Athletics
1901,PHI,Philadelphia Phillies
1901,PIT,Pittsburgh Pirates
1901,SLN,St. Louis Cardinals
1901,WS1,Washington Senators
1902,BLA,Baltimore Orioles
1902,BOS,Boston Americans
1902,BRO,Brooklyn Superbas
1902,BSN,Boston Beaneaters
1902,CHA,Chicago White Sox
1902,CHN,Chicago Orphans
1902,CIN,Cincinnati Reds
1902,CLE,Cleveland Bronchos
1902,DET,Detroit Tigers
1902,NY1,New York Giants
1902,PHA,Philadelphia Athletics
1902,PHI,Philadelphia Phillies
1902,PIT,Pittsburgh Pirates
1902,SLA,St. Louis Browns
1902,SLN,St. Louis Cardinals
1902,WS1,Washington Senators
1903,BOS,Boston Americans
1903,BRO,Brooklyn Superbas
1903,BSN,Boston Beaneaters
1903,CHA,Chicago White Sox
1903,CHN,Chicago Cubs
1903,CIN,Cincinnati Reds
1903,CLE,Cleveland Naps
1903,DET,Detroit Tigers
1903,NY1,New York Giants
1903,NYA,New York Highlanders
1903,PHA,Philadelphia Athletics
1903,PHI,Philadelphia Phillies
1903,PIT,Pittsburgh Pirates
1903,SLA,St. Louis Browns
1903,SLN,St. Louis Cardinals
1903,WS1,Washington Senators
1904,BOS,Boston Americans
1904,BRO,Brooklyn Superbas
1904,BSN,Boston Beaneaters
1904,CHA,Chicago White Sox
1904,CHN,Chicago Cubs
1904,CIN,Cincinnati Reds
1904,CLE,Cleveland Naps
1904,DET,Detroit Tigers
1904,NY1,New York Giants
1904,NYA,New York Highlanders
1904,PHA,Philadelphia Athletics
1904,PHI,Philadelphia Phillies
1904,PIT,Pittsburgh Pirates
1904,SLA,St. Louis Browns
1904,SLN,St. Louis Cardinals
1904,WS1,Washington Senators
1905,BOS,Boston Americans
1905,BRO,Brooklyn Superbas
1905,BSN,Boston Beaneaters
1905,CHA,Chicago White Sox
1905,CHN,Chicago Cubs
1905,CIN,Cincinnati Reds
1905,CLE,Cleveland Naps
1905,DET,Detroit Tigers
1905,NY1,New York Giants
1905,NYA,New York Highlanders
1905,PHA,Philadelphia Athletics
1905,PHI,Philadelphia Phillies
1905,PIT,Pittsburgh Pirates
1905,SLA,St. Louis Browns
1905,SLN,St. Louis Cardinals
1905,WS1,Washington Senators
1906,BOS,Boston Americans
1906,BRO,Brooklyn Superbas
1906,BSN,Boston Beaneaters
1906,CHA,Chicago White Sox
1906,CHN,Chicago Cubs
1906,CIN,Cincinnati Reds
1906,CLE,Cleveland Naps
1906,DET,Detroit Tigers
1906,NY1,New York Giants
1906,NYA,New York Highlanders
1906,PHA,Philadelphia Athletics
1906,PHI,Philadelphia Phillies
1906,PIT,Pittsburgh Pirates
1906,SLA,St. Louis Browns
1906,SLN,St. Louis Cardinals
1906,WS1,Washington Senators
1907,BOS,Boston Americans
1907,BRO,Brooklyn Superbas
1907,BSN,Boston Doves
1907,CHA,Chicago White Sox
1907,CHN,Chicago Cubs
1907,CIN,Cincinnati Reds
1907,CLE,Cleveland Naps
1907,DET,Detroit Tigers
1907,NY1,New York Giants
1907,NYA,New York Highlanders
1907,PHA,Philadelphia Athletics
1907,PHI,Philadelphia Phillies
1907,PIT,Pittsburgh Pirates
1907,SLA,St. Louis Browns
1907,SLN,St. Louis Cardinals
1907,WS1,Washington Senators
1908,BOS,Boston Red Sox
1908,BRO,Brooklyn Superbas
1908,BSN,Boston Doves
1908,CHA,Chicago White Sox
1908,CHN,Chicago Cubs
1908,CIN,Cincinnati Reds
1908,CLE,Cleveland Naps
1908,DET,Detroit Tigers
1908,NY1,New York Giants
1908,NYA,New York Highlanders
1908,PHA,Philadelphia Athletics
1908,PHI,Philadelphia Phillies
1908,PIT,Pittsburgh Pirates
1908,SLA,St. Louis Browns
1908,SLN,St. Louis Cardinals
1908,WS1,Washington Senators
1909,BOS,Boston Red Sox
1909,BRO,Brooklyn Superbas
1909,BSN,Boston Doves
1909,CHA,Chicago White Sox
1909,CHN,Chicago Cubs
1909,CIN,Cincinnati Reds
1909,CLE,Cleveland Naps
1909,DET,Detroit Tigers
1909,NY1,New York Giants
1909,NYA,New York Highlanders
1909,PHA,Philadelphia Athletics
1909,PHI,Philadelphia Phillies
1909,PIT,Pittsburgh Pirates
1909,SLA,St. Louis Browns
1909,SLN,St. Louis Cardinals
1909,WS1,Washington Senators
1910,BOS,Boston Red Sox
1910,BRO,Brooklyn Superbas
1910,BSN,Boston Doves
1910,CHA,Chicago White Sox
1910,CHN,Chicago Cubs
1910,CIN,Cincinnati Reds
1910,CLE,Cleveland Naps
1910,DET,Detroit Tigers
1910,NY1,New York Giants
1910,NYA,New York Highlanders
1910,PHA,Philadelphia Athletics
1910,PHI,Philadelphia Phillies
1910,PIT,Pittsburgh Pirates
1910,SLA,St. Louis Browns
1910,SLN,St. Louis Cardinals
1910,WS1,Washington Senators
1911,BOS,Boston Red Sox
1911,BRO,Brooklyn Dodgers
1911,BSN,Boston Rustlers
1911,CHA,Chicago White Sox
1911,CHN,Chicago Cubs
1911,CIN,Cincinnati Reds
1911,CLE,Cleveland Naps
1911,DET,Detroit Tigers
1911,NY1,New York Giants
1911,NYA,New York Highlanders
1911,PHA,Philadelphia Athletics
1911,PHI,Philadelphia Phillies
1911,PIT,Pittsburgh Pirates
1911,SLA,St. Louis Browns
1911,SLN,St. Louis Cardinals
1911,WS1,Washington Senators
1912,BOS,Boston Red Sox
1912,BRO,Brooklyn Dodgers
1912,BSN,Boston Braves
1912,CHA,Chicago White Sox
1912,CHN,Chicago Cubs
