playerID,nameFirst,nameLast,nameGiven
allisar01,Art,Allison,Arthur Algernon
allisbi01,Bill,Allison,William
allisbo01,Bob,Allison,William Robert
allisda01,Dana,Allison,Dana Eric
allisdo01,Doug,Allison,Douglas L.
allisma01,Mack,Allison,Mack Pendleton
allismi01,Milo,Allison,Milo Henry
allrebe01,Beau,Allred,Dale LeBeau
almadme01,Mel,Almada,Baldomero Melo
almanar01,Armando,Almanza,Armando
almanca01,Carlos,Almanzar,Carlos Manuel
almeira01,Rafael,Almeida,Rafael D.
almonab01,Abraham,Almonte,Abraham
almonbi01,Bill,Almon,William Francis
almoned01,Edwin,Almonte,Edwin
almoner01,Erick,Almonte,Erick R.
almonhe01,Hector,Almonte,Hector Radhames
almonmi01,Miguel,Almonte,Miguel Emilio
almonzo01,Zoilo,Almonte,Zoilo Manuel
almoral01,Albert,Almora,Reinaldo Albert
alomalu01,Luis,Aloma,Luis
alomaro01,Roberto,Alomar,Roberto
alomasa01,Sandy,Alomar,Santos
alomasa02,Sandy,Alomar,Santos
alonsyo01,Yonder,Alonso,Yonder
aloufe01,Felipe,Alou,Felipe Rojas
alouje01,Jesus,Alou,Jesus Maria Rojas
alouma01,Matty,Alou,Mateo Rojas
aloumo01,Moises,Alou,Moises Rojas
alperwh01,Whitey,Alpermann,Charles Augustus
alstode01,Dell,Alston,Wendell
alstoga01,Garvin,Alston,Garvin James
alstoto01,Tom,Alston,Thomas Edison
alstowa01,Walter,Alston,Walter Emmons
altampo01,Porfi,Altamirano,Porfirio
altavda01,Dan,Altavilla,Daniel
altener01,Ernie,Alten,Ernest Matthias
altenje01,Jesse,Altenburg,Jesse Howard
altheaa01,Aaron,Altherr,Aaron Samuel
altizda01,Dave,Altizer,David Tilden
altmage01,George,Altman,George Lee
altobjo01,Joe,Altobelli,Joseph Salvatore
altroni01,Nick,Altrock,Nicholas
altuvjo01,Jose,Altuve,Jose Carlos
alusige01,George,Alusik,George Joseph
alvarab01,Abe,Alvarez,Abraham
alvarcl01,Clemente,Alvarez,Clemente Rafael
alvarda01,Dario,Alvarez,Dario Rafael
alvarda02,Dariel,Alvarez,Dariel
alvarga01,Gabe,Alvarez,Gabriel de Jesus
alvarhe01,Henderson,Alvarez,Henderson Javier
alvarjo01,Jose,Alvarez,Jose Lino
alvarjo02,Jose,Alvarez,Jose Ricardo
alvarju01,Juan,Alvarez,Juan M.
alvarlu01,Luis,Alvarado,Luis Cesar
alvaror01,Orlando,Alvarez,Jesus Manuel Orlando
alvaros01,Ossie,Alvarez,Oswaldo
alvarpe01,Pedro,Alvarez,Pedro Manuel
alvarrj01,R. J.,Alvarez,Roy Emilio
alvarro01,Rogelio,Alvarez,Rogelio
alvarta01,Tavo,Alvarez,Cesar Octavio
alvarto01,Tony,Alvarez,Antonio Enrique
alvarvi01,Victor,Alvarez,Victor Aurelio
alvarwi01,Wilson,Alvarez,Wilson Eduardo
alvisma01,Max,Alvis,Roy Maxwell
alvorbi01,Billy,Alvord,William Crawford
alyeabr01,Brant,Alyea,Garrabrant Ryerson
amalfjo01,Joey,Amalfitano,John Joseph
amarari01,Rich,Amaral,Richard Louis
amarial01,Alexi,Amarista,Alexi Jose
amaroru01,Ruben,Amaro,Ruben
amaroru02,Ruben,Amaro,Ruben
amblewa01,Wayne,Ambler,Wayne Harper
ambrech01,Chip,Ambres,Raymond Payne
ambrihe01,Hector,Ambriz,Hector
amelued01,Ed,Amelung,Edward Allen
amesre01,Red,Ames,Leon Kessling
amesst01,Steve,Ames,Steven C.
amezaal01,Alfredo,Amezaga,Alfredo
amoledo01,Doc,Amole,Morris F.
amorosa01,Sandy,Amoros,Edmundo
amorvi01,Vicente,Amor,Vicente
anckewa01,Walter,Ancker,Walter
anderal01,Alf,Anderson,Alfred Walton
anderal02,Allan,Anderson,Allan Lee
anderan01,Andy,Anderson,Andy Holm
anderbi01,Bill,Anderson,William Edward
anderbo01,Bob,Anderson,Robert Carl
anderbr01,Brady,Anderson,Brady Kevin
anderbr02,Brian,Anderson,Brian James
anderbr03,Brian,Anderson,Brian Nikola
anderbr04,Brett,Anderson,Brett Franklin
anderbr05,Bryan,Anderson,Bryan Douglas
anderbu01,Bud,Anderson,Karl Adam
anderch01,Chase,Anderson,Robert Chase
anderco01,Cody,Anderson,Cody Andrew
andercr01,Craig,Anderson,Norman Craig
anderda01,Dave,Anderson,David S.
anderda02,Dave,Anderson,David Carter
anderdr01,Drew,Anderson,Drew Thomas
anderdw01,Dwain,Anderson,Dwain Cleaven
anderfe01,Ferrell,Anderson,Ferrell Jack
anderfr01,Fred,Anderson,John Frederick
anderga01,Garret,Anderson,Garret Joseph
anderge01,George,Anderson,George Jendrus
andergo01,Goat,Anderson,Edward John
anderha01,Hal,Anderson,Harold
anderha02,Harry,Anderson,Harry Walter
anderja01,Jason,Anderson,Jason Roger
anderji01,Jim,Anderson,James Lea
anderji02,Jimmy,Anderson,James Drew
anderjo01,John,Anderson,John Joseph
anderjo02,John,Anderson,John Charles
anderjo03,Josh,Anderson,Joshua Aaron
anderke01,Kent,Anderson,Kent McKay
anderla01,Larry,Anderson,Lawrence Dennis
anderla02,Larry,Andersen,Larry Eugene
anderla03,Lars,Anderson,Lars Eric
